category,label,n_pos_train,n_words,top_words
socio_economic_position,lower class,61,17,"pauvres, armen, revenus, modestes, familles, difficulté, arbeiter, ménages, sociaux, opfer"
socio_economic_position,middle class,21,5,"classes, moyennes, couches, moyenne, classe"
socio_economic_position,upper class,36,7,"riches, pauvres, familien, grandes, pen, oberschicht, fortunes"
socio_economic_position,"capital owners, investors and shareholders",135,20,"aktien, yens, aktie, private, fusion, equity, kaufen, bank, euro, zertifikate"
socio_economic_position,unskilled or unqualified,18,3,"qualifiés, gering, qualifizierte"
socio_economic_position,skilled or qualified,36,3,"wohnen, absolventen, akademiker"
labor_market_position,wage and salary earners,368,20,"mitarbeiter, syndicat, travail, grève, travailleurs, syndicats, personal, salariés, personnel, chômage"
labor_market_position,civil servants,37,3,"beamten, fonctionnaires, hauts"
labor_market_position,CEOs and corporate leaders,208,20,"banken, dirigeants, banques, chefs, management, bank, emittenten, entreprise, markt, krankenkassen"
labor_market_position,employers,58,18,"patrons, arbeitgeber, employeurs, arbeitnehmer, syndicales, salaires, employés, salariés, représentants, conflit"
labor_market_position,entrepreneurs,376,20,"banken, industrie, bank, branche, marché, start, händler, produits, secteur, hersteller"
labor_market_position,self-employed and freelancers,13,2,"entrepreneurs, selbständige"
labor_market_position,unemployed,46,20,"résultats, février, mars, emploi, mois, attendus, million, emplois, job, statistik"
labor_market_position,retirees,15,2,"retraités, senioren"
labor_market_position,housewives and househusbands,17,5,"foyer, femmes, travail, hausfrau, hausmänner"
age_and_family_status,parents and families,171,20,"familles, parents, familien, famille, eltern, familie, salle, angehörige, kinder, kindern"
age_and_family_status,"minors, including children and pupils",310,20,"enfants, ans, kinder, élèves, mädchen, avril, kindern, filles, petits, stage"
age_and_family_status,"youth, including students and apprentices",289,20,"jeunes, jungen, junge, étudiants, jeunesse, studenten, jugendlichen, sports, violence, vacances"
age_and_family_status,middle-aged and pre-retirement age groups,17,6,"ans, arbeitslose, ältere, hält, nombre, femmes"
age_and_family_status,elderly,29,14,"salle, âgées, ouverture, portes, leuten, vieux, heures, école, kampf, parents"
age_and_family_status,couples,30,9,"couples, couple, célibataires, lebensgemeinschaften, époux, millions, enfants, femmes, pma"
age_and_family_status,singles,21,3,"femmes, célibataires, singles"
identities,men,118,20,"männer, hommes, frauen, männern, jungen, mädchen, trans, filles, garçons, jungs"
identities,women,281,20,"frauen, femmes, frau, trans, mädchen, männer, filles, iran, leben, foyer"
identities,cisgender and heterosexuals,14,6,"trans, couples, frauen, hétérosexuels, frau, cis"
identities,LGBTQIA+,60,17,"trans, frauen, personen, frau, schwarzer, cis, couples, hamam, sexe, geschlecht"
identities,disabled people,27,9,"handicapés, sociale, kinder, famille, député, leben, behinderte, blinde, renaud"
identities,"people with an immigration background, including immigrants",223,20,"flüchtlinge, réfugiés, ausländer, migranten, asylbewerber, étrangers, bayern, immigration, klassen, politischen"
identities,Ethnic and racial minorities,27,6,"noirs, tchétchène, schwarze, karen, schwarzen, population"
identities,Christians,33,6,"chrétiens, bush, catholiques, membres, evangelikale, katholischen"
identities,Jews,31,6,"juifs, juive, synagogue, juden, communauté, étudiants"
identities,Muslims,45,9,"musulmans, islamique, islamistes, caire, fin, conseil, français, frauen, mohajirs"
identities,multiple (or other) religious or minority groups,17,3,"pilger, minorités, penang"
profession,athletes,351,20,"spieler, joueurs, trainer, spiel, team, spielen, mannschaft, münchner, athleten, sportifs"
profession,authors and artists,157,20,"künstler, autoren, schauspieler, sänger, kunst, schriftsteller, danseurs, arts, pop, musik"
profession,doctors,48,7,"niedersächsischen, grève, ordre, ärzte, part, médecins, zahnärzte"
profession,farmers and fishermen,62,20,"producteurs, paysans, schlechten, saint, agriculteurs, marins, info, jean, mineurs, déplacement"
profession,health and care professionals,30,5,"trauma, grève, santé, prozent, pflegekräfte"
profession,journalists,41,4,"journalisten, gazprom, sagen, journalistes"
profession,legal professionals,42,6,"richter, anwälte, juges, karlsruher, magistrats, jeunes"
profession,politicians and high-ranking officials,1175,20,"parti, gauche, opposition, politiker, grünen, élus, partei, ps, majorité, politiques"
profession,sex workers,23,6,"sexe, prostituierte, travailleuses, sexarbeiterinnen, prostituées, prostitué"
profession,scientists and professors,82,20,"forscher, wissenschaftler, chercheurs, économistes, scientifiques, region, virus, dr, drittel, données"
profession,security forces,211,20,"policiers, ermittler, police, beamten, polizisten, forces, agents, enquêteurs, polizei, gendarmes"
profession,soldiers,135,20,"militaires, troupes, russes, soldats, bosnie, visite, armee, armée, armées, israelischen"
profession,teachers and educators,52,20,"lehrer, enseignants, bildung, maternelles, assistantes, bezahlung, pflege, eltern, parents, école"
profession,other professions,265,20,"experten, analystes, experts, pompiers, kritiker, berater, piloten, interrogent, hôtesses, lorraine"
social_roles_and_behavior,consumers and clients,290,20,"visiteurs, clients, millions, gäste, spectateurs, consommateurs, bank, février, mars, besucher"
social_roles_and_behavior,car drivers,20,4,"voiture, automobilistes, autofahrer, conducteurs"
social_roles_and_behavior,patients,78,20,"patienten, studie, patients, masin, behandlung, maladies, médicaments, stiftung, diabetes, deutschland"
social_deviance,extremists,60,15,"extrémistes, nationalistes, musulmans, islamistes, nazis, corelli, organisations, waffen, gruppe, violence"
social_deviance,"terrorists, rebels, revolutionaries and/or movements of armed resistance",162,20,"hamas, al, tchétchènes, israel, saboteure, islamique, terroristen, attentat, mouvement, flnc"
social_deviance,"offenders, criminals, prisoners and/or accused people",161,20,"täter, détenus, kriminelle, violence, anklage, bandes, info, prévenus, prison, angeklagten"
social_deviance,drug addicts,20,2,"drogue, toxicomanes"
real_estate_ownership,real-estate owners,69,20,"propriétaires, privés, travaux, bailleurs, logement, locataires, mieter, hausbesitzer, occupants, eigentümer"
real_estate_ownership,tenants,33,10,"propriétaires, travaux, bailleurs, wohnungsmieter, eau, logements, locataires, mieter, cdu, mietern"
real_estate_ownership,homeless,31,6,"abri, logements, enfants, sdf, obdachlose, wohnungslose"
