sentence_id,premise,hypothesis,nli_label,pred_label,prob_entail,date,hypothesis_label,outlet,country,year
2,"Die schärfste Waffe gegen Verfassungsfeinde ist, Kinder vor jeder Form von Gewalt zu schützen, täglich, immer, überall, notfalls durch schärfere Gesetze.","This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,1,0.00010041366,2023-08-26,real-estate owners,Spiegel,Germany,2023.0
2,"Die schärfste Waffe gegen Verfassungsfeinde ist, Kinder vor jeder Form von Gewalt zu schützen, täglich, immer, überall, notfalls durch schärfere Gesetze.","This sentence refers to real estate ownership as a social group, specifically ""tenants"".",1,1,9.9864395e-05,2023-08-26,tenants,Spiegel,Germany,2023.0
2,"Die schärfste Waffe gegen Verfassungsfeinde ist, Kinder vor jeder Form von Gewalt zu schützen, täglich, immer, überall, notfalls durch schärfere Gesetze.","This sentence refers to real estate ownership as a social group, specifically ""homeless"".",1,1,0.00010202455,2023-08-26,homeless,Spiegel,Germany,2023.0
3,"Aber wehe den Museumsleuten, die im Reich Ludwigscher Weltkunst nicht Haltung bewahren.","This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,1,0.00013509231,1995-07-14,real-estate owners,Zeit,Germany,1995.0
3,"Aber wehe den Museumsleuten, die im Reich Ludwigscher Weltkunst nicht Haltung bewahren.","This sentence refers to real estate ownership as a social group, specifically ""tenants"".",1,1,0.000100533034,1995-07-14,tenants,Zeit,Germany,1995.0
3,"Aber wehe den Museumsleuten, die im Reich Ludwigscher Weltkunst nicht Haltung bewahren.","This sentence refers to real estate ownership as a social group, specifically ""homeless"".",1,1,0.00019952947,1995-07-14,homeless,Zeit,Germany,1995.0
7,"Sie präsentiert aber auch viele Antworten und führt den Besucher klug durch eine spannende Epoche, die nach dem Zweiten Weltkrieg den Kunstbegriff neu definieren und besetzen wollte und deren Ideen bis heute aktuell sind.","This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,1,0.00011297553,2016-11-10,real-estate owners,SZ,Germany,2016.0
7,"Sie präsentiert aber auch viele Antworten und führt den Besucher klug durch eine spannende Epoche, die nach dem Zweiten Weltkrieg den Kunstbegriff neu definieren und besetzen wollte und deren Ideen bis heute aktuell sind.","This sentence refers to real estate ownership as a social group, specifically ""tenants"".",1,1,9.821322e-05,2016-11-10,tenants,SZ,Germany,2016.0
7,"Sie präsentiert aber auch viele Antworten und führt den Besucher klug durch eine spannende Epoche, die nach dem Zweiten Weltkrieg den Kunstbegriff neu definieren und besetzen wollte und deren Ideen bis heute aktuell sind.","This sentence refers to real estate ownership as a social group, specifically ""homeless"".",1,1,0.00010132135,2016-11-10,homeless,SZ,Germany,2016.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,1,0.00012024306,1995-07-07,real-estate owners,Zeit,Germany,1995.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to real estate ownership as a social group, specifically ""tenants"".",1,1,9.959041e-05,1995-07-07,tenants,Zeit,Germany,1995.0
18,Trotz noch vorhandener technischer Probleme wollen die ungleichen Partner schon 1996 mit Profigeräten für Kinos oder Werbetreibende auf den Markt.,"This sentence refers to real estate ownership as a social group, specifically ""homeless"".",1,1,0.000103073806,1995-07-07,homeless,Zeit,Germany,1995.0
25,"Mit Obernosterers Landsfrau Elisabeth Baldauf, 25, bekommen auch die Neuhauser Damen eine starke neue Kraft an die Seite gestellt.","This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,1,0.00010364596,2016-09-10,real-estate owners,SZ,Germany,2016.0
25,"Mit Obernosterers Landsfrau Elisabeth Baldauf, 25, bekommen auch die Neuhauser Damen eine starke neue Kraft an die Seite gestellt.","This sentence refers to real estate ownership as a social group, specifically ""tenants"".",1,1,0.00010076568,2016-09-10,tenants,SZ,Germany,2016.0
25,"Mit Obernosterers Landsfrau Elisabeth Baldauf, 25, bekommen auch die Neuhauser Damen eine starke neue Kraft an die Seite gestellt.","This sentence refers to real estate ownership as a social group, specifically ""homeless"".",1,1,9.913836e-05,2016-09-10,homeless,SZ,Germany,2016.0
31,"Ermittler des Bundeskriminalamts (BKA) durchsuchten am Donnerstag auf Antrag der Kölner Staatsanwaltschaft drei Objekte in Nordrhein-Westfalen, wie das BKA mitteilte.---Ein per Haftbefehl gesuchter Mann (24) sei festgenommen worden.","This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,1,0.00010347344,2022-09-29,real-estate owners,Bild,Germany,2022.0
31,"Ermittler des Bundeskriminalamts (BKA) durchsuchten am Donnerstag auf Antrag der Kölner Staatsanwaltschaft drei Objekte in Nordrhein-Westfalen, wie das BKA mitteilte.---Ein per Haftbefehl gesuchter Mann (24) sei festgenommen worden.","This sentence refers to real estate ownership as a social group, specifically ""tenants"".",1,1,9.992889e-05,2022-09-29,tenants,Bild,Germany,2022.0
31,"Ermittler des Bundeskriminalamts (BKA) durchsuchten am Donnerstag auf Antrag der Kölner Staatsanwaltschaft drei Objekte in Nordrhein-Westfalen, wie das BKA mitteilte.---Ein per Haftbefehl gesuchter Mann (24) sei festgenommen worden.","This sentence refers to real estate ownership as a social group, specifically ""homeless"".",1,1,9.922765e-05,2022-09-29,homeless,Bild,Germany,2022.0
34,"---Friedliebenste Antithese---""Für mich ist die Frage offen, wie stark Putin unter Druck steht"", widerspricht die Linke-Fraktionschefin.","This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,1,9.728939e-05,2022-10-06,real-estate owners,Bild,Germany,2022.0
34,"---Friedliebenste Antithese---""Für mich ist die Frage offen, wie stark Putin unter Druck steht"", widerspricht die Linke-Fraktionschefin.","This sentence refers to real estate ownership as a social group, specifically ""tenants"".",1,1,0.000101869584,2022-10-06,tenants,Bild,Germany,2022.0
34,"---Friedliebenste Antithese---""Für mich ist die Frage offen, wie stark Putin unter Druck steht"", widerspricht die Linke-Fraktionschefin.","This sentence refers to real estate ownership as a social group, specifically ""homeless"".",1,1,9.656632e-05,2022-10-06,homeless,Bild,Germany,2022.0
42,"Nur in drei Fällen kam es zu einer Verurteilung, in den übrigen Fällen waren die Tatverdächtigen verstorben, oder die Beweise reichten nicht für eine Anklage oder ein Urteil.","This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,1,0.00010756331,2023-08-26,real-estate owners,Spiegel,Germany,2023.0
42,"Nur in drei Fällen kam es zu einer Verurteilung, in den übrigen Fällen waren die Tatverdächtigen verstorben, oder die Beweise reichten nicht für eine Anklage oder ein Urteil.","This sentence refers to real estate ownership as a social group, specifically ""tenants"".",1,1,9.8137774e-05,2023-08-26,tenants,Spiegel,Germany,2023.0
42,"Nur in drei Fällen kam es zu einer Verurteilung, in den übrigen Fällen waren die Tatverdächtigen verstorben, oder die Beweise reichten nicht für eine Anklage oder ein Urteil.","This sentence refers to real estate ownership as a social group, specifically ""homeless"".",1,1,0.00026819963,2023-08-26,homeless,Spiegel,Germany,2023.0
43,Zusammen mit den 17 000 amnesty-Förderern zählt die deutsche Sektion nach wie vor zu den großen und finanzstärksten Landesdependancen.,"This sentence refers to real estate ownership as a social group, specifically ""real-estate owners"".",1,1,0.00010870312,1995-07-07,real-estate owners,Zeit,Germany,1995.0
43,Zusammen mit den 17 000 amnesty-Förderern zählt die deutsche Sektion nach wie vor zu den großen und finanzstärksten Landesdependancen.,"This sentence refers to real estate ownership as a social group, specifically ""tenants"".",1,1,0.0001004418,1995-07-07,tenants,Zeit,Germany,1995.0
