sentence_id,premise,hypothesis,nli_label,pred_label,prob_entail,date,hypothesis_label,outlet,country,year
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to labor market position as a social group, specifically ""wage and salary earners"".",0,1,0.040296026,1995-07-07,wage and salary earners,Zeit,Germany,1995.0
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to labor market position as a social group, specifically ""civil servants"".",1,1,0.0012876126,1995-07-07,civil servants,Zeit,Germany,1995.0
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to labor market position as a social group, specifically ""CEOs and corporate leaders"".",1,1,0.0017578002,1995-07-07,CEOs and corporate leaders,Zeit,Germany,1995.0
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to labor market position as a social group, specifically ""employers"".",1,1,0.0031540138,1995-07-07,employers,Zeit,Germany,1995.0
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to labor market position as a social group, specifically ""entrepreneurs"".",1,1,0.0021176601,1995-07-07,entrepreneurs,Zeit,Germany,1995.0
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to labor market position as a social group, specifically ""self-employed and freelancers"".",1,1,0.0010320756,1995-07-07,self-employed and freelancers,Zeit,Germany,1995.0
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to labor market position as a social group, specifically ""unemployed"".",1,1,0.0015976339,1995-07-07,unemployed,Zeit,Germany,1995.0
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to labor market position as a social group, specifically ""retirees"".",1,1,0.0013717466,1995-07-07,retirees,Zeit,Germany,1995.0
5,Ob die Abteilung deshalb kaum zwanzig Mitglieder in ihren Reihen zählt?,"This sentence refers to labor market position as a social group, specifically ""housewives and househusbands"".",1,1,0.0009855387,1995-07-07,housewives and househusbands,Zeit,Germany,1995.0
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to labor market position as a social group, specifically ""wage and salary earners"".",1,1,0.0018436778,2016-04-08,wage and salary earners,SZ,Germany,2016.0
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to labor market position as a social group, specifically ""civil servants"".",1,1,0.001007863,2016-04-08,civil servants,SZ,Germany,2016.0
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to labor market position as a social group, specifically ""CEOs and corporate leaders"".",1,1,0.0010309161,2016-04-08,CEOs and corporate leaders,SZ,Germany,2016.0
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to labor market position as a social group, specifically ""employers"".",1,1,0.0010832228,2016-04-08,employers,SZ,Germany,2016.0
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to labor market position as a social group, specifically ""entrepreneurs"".",1,1,0.027195081,2016-04-08,entrepreneurs,SZ,Germany,2016.0
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to labor market position as a social group, specifically ""self-employed and freelancers"".",1,1,0.0010028682,2016-04-08,self-employed and freelancers,SZ,Germany,2016.0
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to labor market position as a social group, specifically ""unemployed"".",1,1,0.0010086218,2016-04-08,unemployed,SZ,Germany,2016.0
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to labor market position as a social group, specifically ""retirees"".",1,1,0.0009815707,2016-04-08,retirees,SZ,Germany,2016.0
6,"Piloten nutzen solche Funkfeuer, um ihre Position zu bestimmen.","This sentence refers to labor market position as a social group, specifically ""housewives and househusbands"".",1,1,0.0011513394,2016-04-08,housewives and househusbands,SZ,Germany,2016.0
16,Der Auslastungsgrad der Industrie hingegen liegt bei gerade einmal fünfzehn Prozent.,"This sentence refers to labor market position as a social group, specifically ""wage and salary earners"".",1,1,0.09157083,1995-07-07,wage and salary earners,Zeit,Germany,1995.0
16,Der Auslastungsgrad der Industrie hingegen liegt bei gerade einmal fünfzehn Prozent.,"This sentence refers to labor market position as a social group, specifically ""civil servants"".",1,1,0.00095720275,1995-07-07,civil servants,Zeit,Germany,1995.0
16,Der Auslastungsgrad der Industrie hingegen liegt bei gerade einmal fünfzehn Prozent.,"This sentence refers to labor market position as a social group, specifically ""CEOs and corporate leaders"".",1,1,0.0011927594,1995-07-07,CEOs and corporate leaders,Zeit,Germany,1995.0
16,Der Auslastungsgrad der Industrie hingegen liegt bei gerade einmal fünfzehn Prozent.,"This sentence refers to labor market position as a social group, specifically ""employers"".",1,1,0.0025480462,1995-07-07,employers,Zeit,Germany,1995.0
16,Der Auslastungsgrad der Industrie hingegen liegt bei gerade einmal fünfzehn Prozent.,"This sentence refers to labor market position as a social group, specifically ""entrepreneurs"".",0,0,0.9978496,1995-07-07,entrepreneurs,Zeit,Germany,1995.0
16,Der Auslastungsgrad der Industrie hingegen liegt bei gerade einmal fünfzehn Prozent.,"This sentence refers to labor market position as a social group, specifically ""self-employed and freelancers"".",1,1,0.0010076358,1995-07-07,self-employed and freelancers,Zeit,Germany,1995.0
16,Der Auslastungsgrad der Industrie hingegen liegt bei gerade einmal fünfzehn Prozent.,"This sentence refers to labor market position as a social group, specifically ""unemployed"".",1,1,0.0013039279,1995-07-07,unemployed,Zeit,Germany,1995.0
16,Der Auslastungsgrad der Industrie hingegen liegt bei gerade einmal fünfzehn Prozent.,"This sentence refers to labor market position as a social group, specifically ""retirees"".",1,1,0.0010926896,1995-07-07,retirees,Zeit,Germany,1995.0
16,Der Auslastungsgrad der Industrie hingegen liegt bei gerade einmal fünfzehn Prozent.,"This sentence refers to labor market position as a social group, specifically ""housewives and househusbands"".",1,1,0.0010419639,1995-07-07,housewives and househusbands,Zeit,Germany,1995.0
17,"Bis jetzt habe es immer gereicht an Spenden und Engagement der Familien, sagt Rosinger.","This sentence refers to labor market position as a social group, specifically ""wage and salary earners"".",1,1,0.0011779852,2015-03-31,wage and salary earners,SZ,Germany,2015.0
17,"Bis jetzt habe es immer gereicht an Spenden und Engagement der Familien, sagt Rosinger.","This sentence refers to labor market position as a social group, specifically ""civil servants"".",1,1,0.0009630728,2015-03-31,civil servants,SZ,Germany,2015.0
17,"Bis jetzt habe es immer gereicht an Spenden und Engagement der Familien, sagt Rosinger.","This sentence refers to labor market position as a social group, specifically ""CEOs and corporate leaders"".",1,1,0.0009554824,2015-03-31,CEOs and corporate leaders,SZ,Germany,2015.0
17,"Bis jetzt habe es immer gereicht an Spenden und Engagement der Familien, sagt Rosinger.","This sentence refers to labor market position as a social group, specifically ""employers"".",1,1,0.0009904159,2015-03-31,employers,SZ,Germany,2015.0
17,"Bis jetzt habe es immer gereicht an Spenden und Engagement der Familien, sagt Rosinger.","This sentence refers to labor market position as a social group, specifically ""entrepreneurs"".",1,1,0.0009790914,2015-03-31,entrepreneurs,SZ,Germany,2015.0
17,"Bis jetzt habe es immer gereicht an Spenden und Engagement der Familien, sagt Rosinger.","This sentence refers to labor market position as a social group, specifically ""self-employed and freelancers"".",1,1,0.0009894135,2015-03-31,self-employed and freelancers,SZ,Germany,2015.0
